PS C:\Users\bakar\44-671\.venv\streaming-02-multiple-processes>  c:; cd 'c:\Users\bakar\44-671\.venv\streaming-02-multiple-processes'; & 'C:\Users\bakar\AppData\Local\Microsoft\WindowsApps\python3.11.exe' 'c:\Users\bakar\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\adapter/../..\debugpy\launcher' '53195' '--' 'c:\Users\bakar\44-671\.venv\streaming-02-multiple-processes\process_streaming_bkargel.py' 
2023-09-03 19:08:04,902 - INFO - ===============================================
2023-09-03 19:08:04,902 - INFO - Starting streaming process.
2023-09-03 19:08:04,902 - INFO - Starting to stream data from hurricanes.csv to ('localhost', 9999).
2023-09-03 19:08:04,902 - INFO - Opened for reading: hurricanes.csv.
2023-09-03 19:08:04,902 - INFO - Skipped header row: ['RowID', 'Year', 'NamedStorms', 'Hurricanes', 'MajorHurricanes']  
2023-09-03 19:08:48,089 - INFO - Sent: b'[44, 1894, 7, 5, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:49,095 - INFO - Sent: b'[45, 1895, 6, 2, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:50,098 - INFO - Sent: b'[46, 1896, 7, 6, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:51,103 - INFO - Sent: b'[47, 1897, 6, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:52,106 - INFO - Sent: b'[48, 1898, 11, 5, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:53,110 - INFO - Sent: b'[49, 1899, 10, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:54,115 - INFO - Sent: b'[50, 1900, 7, 3, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:55,119 - INFO - Sent: b'[51, 1901, 13, 6, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:56,123 - INFO - Sent: b'[52, 1902, 5, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:57,127 - INFO - Sent: b'[53, 1903, 10, 7, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:58,130 - INFO - Sent: b'[54, 1904, 6, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:08:59,132 - INFO - Sent: b'[55, 1905, 5, 1, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:00,136 - INFO - Sent: b'[56, 1906, 11, 6, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:01,140 - INFO - Sent: b'[57, 1907, 5, 0, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:02,142 - INFO - Sent: b'[58, 1908, 10, 6, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:03,144 - INFO - Sent: b'[59, 1909, 12, 6, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:04,150 - INFO - Sent: b'[60, 1910, 5, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:05,153 - INFO - Sent: b'[61, 1911, 6, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:06,158 - INFO - Sent: b'[62, 1912, 7, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:07,161 - INFO - Sent: b'[63, 1913, 6, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:08,166 - INFO - Sent: b'[64, 1914, 1, 0, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:09,169 - INFO - Sent: b'[65, 1915, 6, 5, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:10,173 - INFO - Sent: b'[66, 1916, 15, 10, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:11,175 - INFO - Sent: b'[67, 1917, 4, 2, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:12,179 - INFO - Sent: b'[68, 1918, 6, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:13,182 - INFO - Sent: b'[69, 1919, 5, 2, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:14,186 - INFO - Sent: b'[70, 1920, 5, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:15,190 - INFO - Sent: b'[71, 1921, 7, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:16,194 - INFO - Sent: b'[72, 1922, 5, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:17,199 - INFO - Sent: b'[73, 1923, 9, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:18,202 - INFO - Sent: b'[74, 1924, 11, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:19,206 - INFO - Sent: b'[75, 1925, 4, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:20,209 - INFO - Sent: b'[76, 1926, 11, 8, 6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:21,211 - INFO - Sent: b'[77, 1927, 8, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:22,215 - INFO - Sent: b'[78, 1928, 6, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:23,219 - INFO - Sent: b'[79, 1929, 5, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:24,222 - INFO - Sent: b'[80, 1930, 3, 2, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:25,226 - INFO - Sent: b'[81, 1931, 13, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:26,228 - INFO - Sent: b'[82, 1932, 15, 6, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:27,231 - INFO - Sent: b'[83, 1933, 20, 11, 6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:28,236 - INFO - Sent: b'[84, 1934, 13, 7, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:29,241 - INFO - Sent: b'[85, 1935, 8, 5, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:30,243 - INFO - Sent: b'[86, 1936, 17, 7, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:31,247 - INFO - Sent: b'[87, 1937, 11, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:32,252 - INFO - Sent: b'[88, 1938, 9, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:33,254 - INFO - Sent: b'[89, 1939, 6, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:34,261 - INFO - Sent: b'[90, 1940, 9, 6, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:35,263 - INFO - Sent: b'[91, 1941, 6, 4, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:36,267 - INFO - Sent: b'[92, 1942, 11, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:37,270 - INFO - Sent: b'[93, 1943, 10, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:38,272 - INFO - Sent: b'[94, 1944, 14, 8, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:39,276 - INFO - Sent: b'[95, 1945, 11, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:40,280 - INFO - Sent: b'[96, 1946, 6, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:41,283 - INFO - Sent: b'[97, 1947, 9, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:42,286 - INFO - Sent: b'[98, 1948, 9, 6, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:43,289 - INFO - Sent: b'[99, 1949, 13, 7, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:44,292 - INFO - Sent: b'[100, 1950, 13, 11, 8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:45,294 - INFO - Sent: b'[101, 1951, 10, 8, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:46,297 - INFO - Sent: b'[102, 1952, 7, 6, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:47,301 - INFO - Sent: b'[103, 1953, 14, 6, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:48,306 - INFO - Sent: b'[104, 1954, 11, 8, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:49,309 - INFO - Sent: b'[105, 1955, 12, 9, 6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:50,312 - INFO - Sent: b'[106, 1956, 8, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:51,315 - INFO - Sent: b'[107, 1957, 8, 3, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:52,319 - INFO - Sent: b'[108, 1958, 10, 7, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:53,324 - INFO - Sent: b'[109, 1959, 11, 7, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:54,328 - INFO - Sent: b'[110, 1960, 7, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:55,334 - INFO - Sent: b'[111, 1961, 11, 8, 7]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:56,336 - INFO - Sent: b'[112, 1962, 5, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:57,340 - INFO - Sent: b'[113, 1963, 9, 7, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:58,345 - INFO - Sent: b'[114, 1964, 12, 6, 6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:09:59,348 - INFO - Sent: b'[115, 1965, 6, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:00,353 - INFO - Sent: b'[116, 1966, 11, 7, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:01,356 - INFO - Sent: b'[117, 1967, 8, 6, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:02,361 - INFO - Sent: b'[118, 1968, 8, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:03,365 - INFO - Sent: b'[119, 1969, 18, 12, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:04,370 - INFO - Sent: b'[120, 1970, 10, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:05,372 - INFO - Sent: b'[121, 1971, 13, 6, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:06,377 - INFO - Sent: b'[122, 1972, 7, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:07,381 - INFO - Sent: b'[123, 1973, 8, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:08,385 - INFO - Sent: b'[124, 1974, 11, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:09,389 - INFO - Sent: b'[125, 1975, 9, 6, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:10,393 - INFO - Sent: b'[126, 1976, 10, 6, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:11,398 - INFO - Sent: b'[127, 1977, 6, 5, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:12,404 - INFO - Sent: b'[128, 1978, 12, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:13,408 - INFO - Sent: b'[129, 1979, 9, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:14,412 - INFO - Sent: b'[130, 1980, 11, 9, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:15,415 - INFO - Sent: b'[131, 1981, 12, 7, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:16,418 - INFO - Sent: b'[132, 1982, 6, 2, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:17,423 - INFO - Sent: b'[133, 1983, 4, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:18,427 - INFO - Sent: b'[134, 1984, 13, 5, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:19,431 - INFO - Sent: b'[135, 1985, 11, 7, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:20,435 - INFO - Sent: b'[136, 1986, 6, 4, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:21,439 - INFO - Sent: b'[137, 1987, 7, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:22,443 - INFO - Sent: b'[138, 1988, 12, 5, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:23,449 - INFO - Sent: b'[139, 1989, 11, 7, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:24,451 - INFO - Sent: b'[140, 1990, 14, 8, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:25,455 - INFO - Sent: b'[141, 1991, 8, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:26,461 - INFO - Sent: b'[142, 1992, 7, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:27,463 - INFO - Sent: b'[143, 1993, 8, 4, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:28,467 - INFO - Sent: b'[144, 1994, 7, 3, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:29,471 - INFO - Sent: b'[145, 1995, 19, 11, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:30,475 - INFO - Sent: b'[146, 1996, 13, 9, 6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:31,479 - INFO - Sent: b'[147, 1997, 8, 3, 1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:32,484 - INFO - Sent: b'[148, 1998, 14, 10, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:33,488 - INFO - Sent: b'[149, 1999, 12, 8, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:34,493 - INFO - Sent: b'[150, 2000, 15, 8, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:35,497 - INFO - Sent: b'[151, 2001, 15, 9, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:36,501 - INFO - Sent: b'[152, 2002, 12, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:37,505 - INFO - Sent: b'[153, 2003, 16, 7, 3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:38,509 - INFO - Sent: b'[154, 2004, 15, 9, 6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:39,514 - INFO - Sent: b'[155, 2005, 28, 15, 7]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:40,518 - INFO - Sent: b'[156, 2006, 10, 5, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:41,523 - INFO - Sent: b'[157, 2007, 15, 6, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:42,528 - INFO - Sent: b'[158, 2008, 16, 8, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:43,532 - INFO - Sent: b'[159, 2009, 9, 3, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:44,534 - INFO - Sent: b'[160, 2010, 19, 12, 5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:45,535 - INFO - Sent: b'[161, 2011, 19, 7, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:46,540 - INFO - Sent: b'[162, 2012, 19, 10, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:47,544 - INFO - Sent: b'[163, 2013, 14, 2, 0]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:48,548 - INFO - Sent: b'[164, 2014, 8, 6, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:49,552 - INFO - Sent: b'[165, 2015, 11, 4, 2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:50,556 - INFO - Sent: b'[166, 2016, 15, 7, 4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:51,560 - INFO - Sent: b'[167, 2017, 17, 10, 6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 19:10:52,564 - INFO - Streaming complete!
2023-09-03 19:10:52,564 - INFO - ===============================================
PS C:\Users\bakar\44-671\.venv\streaming-02-multiple-processes> 
